"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"22562","Queens","2016","5","8","15","45","501","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","16","0","447","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","16","15","484","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","16","30","427","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","16","45","456","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","17","0","471","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","17","15","480","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","17","30","448","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","17","45","446","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","18","0","629","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","18","15","524","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","18","30","422","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","18","45","422","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","19","0","375","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","19","15","411","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","19","30","384","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","19","45","392","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","20","0","369","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","20","15","404","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","20","30","399","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","20","45","358","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","21","0","349","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","21","15","314","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","21","30","297","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","21","45","302","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","22","0","280","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","22","15","253","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
